subset,clase,archivo,participante,mano,toma,frame_original,ruta_original
train,ok,ok_01011.jpg,p1,,gestos_p1_20260914-163555,11,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00011.jpg
train,ok,ok_01012.jpg,p1,,gestos_p1_20260914-163555,12,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00012.jpg
train,ok,ok_01013.jpg,p1,,gestos_p1_20260914-163555,13,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00013.jpg
train,ok,ok_01014.jpg,p1,,gestos_p1_20260914-163555,14,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00014.jpg
train,ok,ok_01015.jpg,p1,,gestos_p1_20260914-163555,15,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00015.jpg
train,ok,ok_01016.jpg,p1,,gestos_p1_20260914-163555,16,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00016.jpg
train,ok,ok_01017.jpg,p1,,gestos_p1_20260914-163555,17,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00017.jpg
train,ok,ok_01018.jpg,p1,,gestos_p1_20260914-163555,18,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00018.jpg
train,ok,ok_01019.jpg,p1,,gestos_p1_20260914-163555,19,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00019.jpg
train,ok,ok_01020.jpg,p1,,gestos_p1_20260914-163555,20,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00020.jpg
train,ok,ok_01021.jpg,p1,,gestos_p1_20260914-163555,21,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00021.jpg
train,ok,ok_01022.jpg,p1,,gestos_p1_20260914-163555,22,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00022.jpg
train,ok,ok_01023.jpg,p1,,gestos_p1_20260914-163555,23,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00023.jpg
train,ok,ok_01024.jpg,p1,,gestos_p1_20260914-163555,24,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00024.jpg
train,ok,ok_01025.jpg,p1,,gestos_p1_20260914-163555,25,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00025.jpg
train,ok,ok_01026.jpg,p1,,gestos_p1_20260914-163555,26,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00026.jpg
train,ok,ok_01027.jpg,p1,,gestos_p1_20260914-163555,27,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00027.jpg
train,ok,ok_01028.jpg,p1,,gestos_p1_20260914-163555,28,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00028.jpg
train,ok,ok_01029.jpg,p1,,gestos_p1_20260914-163555,29,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00029.jpg
train,ok,ok_01030.jpg,p1,,gestos_p1_20260914-163555,30,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00030.jpg
train,ok,ok_01031.jpg,p1,,gestos_p1_20260914-163555,31,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00031.jpg
train,ok,ok_01032.jpg,p1,,gestos_p1_20260914-163555,32,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00032.jpg
train,ok,ok_01033.jpg,p1,,gestos_p1_20260914-163555,33,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00033.jpg
train,ok,ok_01034.jpg,p1,,gestos_p1_20260914-163555,34,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00034.jpg
train,ok,ok_01035.jpg,p1,,gestos_p1_20260914-163555,35,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00035.jpg
train,ok,ok_01036.jpg,p1,,gestos_p1_20260914-163555,36,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00036.jpg
train,ok,ok_01037.jpg,p1,,gestos_p1_20260914-163555,37,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00037.jpg
train,ok,ok_01038.jpg,p1,,gestos_p1_20260914-163555,38,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00038.jpg
train,ok,ok_01039.jpg,p1,,gestos_p1_20260914-163555,39,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00039.jpg
train,ok,ok_01040.jpg,p1,,gestos_p1_20260914-163555,40,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00040.jpg
train,ok,ok_01041.jpg,p1,,gestos_p1_20260914-163555,41,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00041.jpg
train,ok,ok_01042.jpg,p1,,gestos_p1_20260914-163555,42,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00042.jpg
train,ok,ok_01043.jpg,p1,,gestos_p1_20260914-163555,43,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00043.jpg
train,ok,ok_01044.jpg,p1,,gestos_p1_20260914-163555,44,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00044.jpg
train,ok,ok_01045.jpg,p1,,gestos_p1_20260914-163555,45,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00045.jpg
train,ok,ok_01046.jpg,p1,,gestos_p1_20260914-163555,46,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00046.jpg
train,ok,ok_01047.jpg,p1,,gestos_p1_20260914-163555,47,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00047.jpg
train,ok,ok_01048.jpg,p1,,gestos_p1_20260914-163555,48,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00048.jpg
train,ok,ok_01049.jpg,p1,,gestos_p1_20260914-163555,49,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00049.jpg
train,ok,ok_01050.jpg,p1,,gestos_p1_20260914-163555,50,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00050.jpg
train,ok,ok_01051.jpg,p1,,gestos_p1_20260914-163555,51,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00051.jpg
train,ok,ok_01052.jpg,p1,,gestos_p1_20260914-163555,52,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00052.jpg
train,ok,ok_01053.jpg,p1,,gestos_p1_20260914-163555,53,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00053.jpg
train,ok,ok_01054.jpg,p1,,gestos_p1_20260914-163555,54,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00054.jpg
train,ok,ok_01055.jpg,p1,,gestos_p1_20260914-163555,55,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00055.jpg
train,ok,ok_01056.jpg,p1,,gestos_p1_20260914-163555,56,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00056.jpg
train,ok,ok_01057.jpg,p1,,gestos_p1_20260914-163555,57,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00057.jpg
train,ok,ok_01058.jpg,p1,,gestos_p1_20260914-163555,58,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00058.jpg
train,ok,ok_01059.jpg,p1,,gestos_p1_20260914-163555,59,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00059.jpg
train,ok,ok_01060.jpg,p1,,gestos_p1_20260914-163555,60,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00060.jpg
train,ok,ok_01061.jpg,p1,,gestos_p1_20260914-163555,61,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00061.jpg
train,ok,ok_01062.jpg,p1,,gestos_p1_20260914-163555,62,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00062.jpg
train,ok,ok_01063.jpg,p1,,gestos_p1_20260914-163555,63,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00063.jpg
train,ok,ok_01064.jpg,p1,,gestos_p1_20260914-163555,64,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00064.jpg
train,ok,ok_01065.jpg,p1,,gestos_p1_20260914-163555,65,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00065.jpg
train,ok,ok_01066.jpg,p1,,gestos_p1_20260914-163555,66,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00066.jpg
train,ok,ok_01067.jpg,p1,,gestos_p1_20260914-163555,67,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00067.jpg
train,ok,ok_01068.jpg,p1,,gestos_p1_20260914-163555,68,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00068.jpg
train,ok,ok_01069.jpg,p1,,gestos_p1_20260914-163555,69,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00069.jpg
train,ok,ok_01070.jpg,p1,,gestos_p1_20260914-163555,70,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00070.jpg
train,paper,paper_01001.jpg,p1,,gestos_p1_20260914-163555,1,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00001.jpg
train,paper,paper_01002.jpg,p1,,gestos_p1_20260914-163555,2,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00002.jpg
train,paper,paper_01003.jpg,p1,,gestos_p1_20260914-163555,3,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00003.jpg
train,paper,paper_01004.jpg,p1,,gestos_p1_20260914-163555,4,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00004.jpg
train,paper,paper_01005.jpg,p1,,gestos_p1_20260914-163555,5,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00005.jpg
train,paper,paper_01006.jpg,p1,,gestos_p1_20260914-163555,6,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00006.jpg
train,paper,paper_01007.jpg,p1,,gestos_p1_20260914-163555,7,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00007.jpg
train,paper,paper_01008.jpg,p1,,gestos_p1_20260914-163555,8,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00008.jpg
train,paper,paper_01009.jpg,p1,,gestos_p1_20260914-163555,9,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00009.jpg
train,paper,paper_01010.jpg,p1,,gestos_p1_20260914-163555,10,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00010.jpg
train,paper,paper_01011.jpg,p1,,gestos_p1_20260914-163555,11,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00011.jpg
train,paper,paper_01012.jpg,p1,,gestos_p1_20260914-163555,12,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00012.jpg
train,paper,paper_01013.jpg,p1,,gestos_p1_20260914-163555,13,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00013.jpg
train,paper,paper_01014.jpg,p1,,gestos_p1_20260914-163555,14,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00014.jpg
train,paper,paper_01015.jpg,p1,,gestos_p1_20260914-163555,15,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00015.jpg
train,paper,paper_01016.jpg,p1,,gestos_p1_20260914-163555,16,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00016.jpg
train,paper,paper_01017.jpg,p1,,gestos_p1_20260914-163555,17,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00017.jpg
train,paper,paper_01018.jpg,p1,,gestos_p1_20260914-163555,18,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00018.jpg
train,paper,paper_01019.jpg,p1,,gestos_p1_20260914-163555,19,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00019.jpg
train,paper,paper_01020.jpg,p1,,gestos_p1_20260914-163555,20,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00020.jpg
train,paper,paper_01021.jpg,p1,,gestos_p1_20260914-163555,21,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00021.jpg
train,paper,paper_01022.jpg,p1,,gestos_p1_20260914-163555,22,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00022.jpg
train,paper,paper_01023.jpg,p1,,gestos_p1_20260914-163555,23,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00023.jpg
train,paper,paper_01024.jpg,p1,,gestos_p1_20260914-163555,24,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00024.jpg
train,paper,paper_01025.jpg,p1,,gestos_p1_20260914-163555,25,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00025.jpg
train,paper,paper_01026.jpg,p1,,gestos_p1_20260914-163555,26,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00026.jpg
train,paper,paper_01027.jpg,p1,,gestos_p1_20260914-163555,27,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00027.jpg
train,paper,paper_01028.jpg,p1,,gestos_p1_20260914-163555,28,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00028.jpg
train,paper,paper_01029.jpg,p1,,gestos_p1_20260914-163555,29,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00029.jpg
train,paper,paper_01030.jpg,p1,,gestos_p1_20260914-163555,30,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00030.jpg
train,paper,paper_01031.jpg,p1,,gestos_p1_20260914-163555,31,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00031.jpg
train,paper,paper_01032.jpg,p1,,gestos_p1_20260914-163555,32,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00032.jpg
train,paper,paper_01033.jpg,p1,,gestos_p1_20260914-163555,33,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00033.jpg
train,paper,paper_01034.jpg,p1,,gestos_p1_20260914-163555,34,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00034.jpg
train,paper,paper_01035.jpg,p1,,gestos_p1_20260914-163555,35,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00035.jpg
train,paper,paper_01036.jpg,p1,,gestos_p1_20260914-163555,36,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00036.jpg
train,paper,paper_01037.jpg,p1,,gestos_p1_20260914-163555,37,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00037.jpg
train,paper,paper_01038.jpg,p1,,gestos_p1_20260914-163555,38,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00038.jpg
train,paper,paper_01039.jpg,p1,,gestos_p1_20260914-163555,39,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00039.jpg
train,paper,paper_01040.jpg,p1,,gestos_p1_20260914-163555,40,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00040.jpg
train,paper,paper_01041.jpg,p1,,gestos_p1_20260914-163555,41,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00041.jpg
train,paper,paper_01042.jpg,p1,,gestos_p1_20260914-163555,42,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00042.jpg
train,paper,paper_01043.jpg,p1,,gestos_p1_20260914-163555,43,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00043.jpg
train,paper,paper_01044.jpg,p1,,gestos_p1_20260914-163555,44,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00044.jpg
train,paper,paper_01045.jpg,p1,,gestos_p1_20260914-163555,45,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00045.jpg
train,paper,paper_01046.jpg,p1,,gestos_p1_20260914-163555,46,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00046.jpg
train,paper,paper_01047.jpg,p1,,gestos_p1_20260914-163555,47,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00047.jpg
train,paper,paper_01048.jpg,p1,,gestos_p1_20260914-163555,48,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00048.jpg
train,paper,paper_01049.jpg,p1,,gestos_p1_20260914-163555,49,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00049.jpg
train,paper,paper_01050.jpg,p1,,gestos_p1_20260914-163555,50,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00050.jpg
train,paper,paper_01051.jpg,p1,,gestos_p1_20260914-163555,51,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00051.jpg
train,paper,paper_01052.jpg,p1,,gestos_p1_20260914-163555,52,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00052.jpg
train,paper,paper_01053.jpg,p1,,gestos_p1_20260914-163555,53,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00053.jpg
train,paper,paper_01054.jpg,p1,,gestos_p1_20260914-163555,54,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00054.jpg
train,paper,paper_01055.jpg,p1,,gestos_p1_20260914-163555,55,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00055.jpg
train,paper,paper_01056.jpg,p1,,gestos_p1_20260914-163555,56,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00056.jpg
train,paper,paper_01057.jpg,p1,,gestos_p1_20260914-163555,57,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00057.jpg
train,paper,paper_01058.jpg,p1,,gestos_p1_20260914-163555,58,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00058.jpg
train,paper,paper_01059.jpg,p1,,gestos_p1_20260914-163555,59,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00059.jpg
train,paper,paper_01060.jpg,p1,,gestos_p1_20260914-163555,60,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00060.jpg
train,paper,paper_01061.jpg,p1,,gestos_p1_20260914-163555,61,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00061.jpg
train,paper,paper_01062.jpg,p1,,gestos_p1_20260914-163555,62,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00062.jpg
train,paper,paper_01063.jpg,p1,,gestos_p1_20260914-163555,63,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00063.jpg
train,paper,paper_01064.jpg,p1,,gestos_p1_20260914-163555,64,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00064.jpg
