indice,toma,participante,clase_real,clase_predicha,confianza,frame,ruta,handedness
2892,gestos_p5_20260916-155908,p5,scissors,ok,0.99695635,92,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00092.jpg,Left
468,gestos_p1_20260914-163555,p1,rock,ok,0.99648297,86,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\rock\rock_00086.jpg,Right
273,gestos_p1_20260914-163555,p1,scissors,rockandroll,0.9961951,11,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00011.jpg,Right
2597,gestos_p5_20260916-155908,p5,rockandroll,paper,0.99569345,49,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00049.jpg,Left
2838,gestos_p5_20260916-155908,p5,rock,ok,0.99506074,97,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00097.jpg,Right
2190,gestos_p4_20260916-154654,p4,ok,paper,0.9947078,96,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\test\ok\ok_00096.jpg,Right
1943,gestos_p4_20260916-154654,p4,rock,paper,0.9946707,59,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\rock\rock_00059.jpg,Right
91,gestos_p1_20260914-163555,p1,paper,ok,0.99416625,26,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00026.jpg,Left
2579,gestos_p5_20260916-155908,p5,rockandroll,rock,0.9940951,31,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00031.jpg,Right
65,gestos_p1_20260914-163555,p1,ok,rockandroll,0.99387544,69,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00069.jpg,Right
1410,gestos_p3_20260916-153029,p3,rockandroll,scissors,0.9910823,49,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\rockandroll\rockandroll_00049.jpg,Left
1414,gestos_p3_20260916-153029,p3,rockandroll,thumbsup,0.9902574,53,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\rockandroll\rockandroll_00053.jpg,Right
2853,gestos_p5_20260916-155908,p5,rockandroll,paper,0.9884558,83,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rockandroll\rockandroll_00083.jpg,Right
1738,gestos_p3_20260916-153029,p3,thumbsup,rock,0.98488784,94,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\thumbsup\thumbsup_00094.jpg,Right
2829,gestos_p5_20260916-155908,p5,rock,ok,0.9844162,83,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00083.jpg,Right
9,gestos_p1_20260914-163555,p1,ok,paper,0.98095554,10,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00010.jpg,Left
1529,gestos_p3_20260916-153029,p3,thumbsup,paper,0.98078626,29,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\thumbsup\thumbsup_00029.jpg,Right
292,gestos_p1_20260914-163555,p1,scissors,rock,0.9763613,30,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00030.jpg,Right
2668,gestos_p5_20260916-155908,p5,scissors,ok,0.97593313,50,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00050.jpg,Right
2890,gestos_p5_20260916-155908,p5,scissors,ok,0.9749156,90,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00090.jpg,Left
275,gestos_p1_20260914-163555,p1,scissors,rockandroll,0.97127545,13,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00013.jpg,Right
268,gestos_p1_20260914-163555,p1,scissors,thumbsup,0.96746325,6,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00006.jpg,Left
2648,gestos_p5_20260916-155908,p5,scissors,rockandroll,0.96722233,30,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00030.jpg,Right
2885,gestos_p5_20260916-155908,p5,scissors,paper,0.96640444,85,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00085.jpg,Left
1578,gestos_p3_20260916-153029,p3,ok,paper,0.964372,79,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\ok\ok_00079.jpg,Right
2897,gestos_p5_20260916-155908,p5,scissors,ok,0.9629951,97,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00097.jpg,Right
631,gestos_p2_20260914-165026,p2,ok,scissors,0.96229994,64,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00064.jpg,Right
999,gestos_p2_20260914-165026,p2,ok,rockandroll,0.9609172,90,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\ok\ok_00090.jpg,Right
277,gestos_p1_20260914-163555,p1,scissors,ok,0.9582911,15,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00015.jpg,Right
2884,gestos_p5_20260916-155908,p5,scissors,paper,0.94884706,84,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00084.jpg,Left
291,gestos_p1_20260914-163555,p1,scissors,rock,0.944921,29,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00029.jpg,Right
1492,gestos_p3_20260916-153029,p3,scissors,rock,0.94448715,61,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\scissors\scissors_00061.jpg,Right
1807,gestos_p4_20260916-154654,p4,ok,paper,0.94196784,63,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00063.jpg,Right
2373,gestos_p5_20260916-155908,p5,ok,paper,0.9352043,31,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\ok\ok_00031.jpg,Right
295,gestos_p1_20260914-163555,p1,scissors,rockandroll,0.9255257,34,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00034.jpg,Left
1413,gestos_p3_20260916-153029,p3,rockandroll,thumbsup,0.9208308,52,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\rockandroll\rockandroll_00052.jpg,Left
2378,gestos_p5_20260916-155908,p5,ok,paper,0.9203457,36,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\ok\ok_00036.jpg,Right
2804,gestos_p5_20260916-155908,p5,paper,rock,0.9127817,87,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\paper\paper_00087.jpg,Left
1420,gestos_p3_20260916-153029,p3,rockandroll,scissors,0.9070211,59,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\rockandroll\rockandroll_00059.jpg,Right
615,gestos_p2_20260914-165026,p2,ok,paper,0.9044497,48,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00048.jpg,Left
427,gestos_p1_20260914-163555,p1,paper,ok,0.90254974,74,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\paper\paper_00074.jpg,Right
2682,gestos_p5_20260916-155908,p5,scissors,ok,0.9007282,65,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00065.jpg,Left
1401,gestos_p3_20260916-153029,p3,rockandroll,rock,0.89303786,39,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\rockandroll\rockandroll_00039.jpg,Right
732,gestos_p2_20260914-165026,p2,rock,ok,0.8875689,25,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\rock\rock_00025.jpg,Right
2828,gestos_p5_20260916-155908,p5,rock,ok,0.8683593,82,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00082.jpg,Left
990,gestos_p2_20260914-165026,p2,ok,scissors,0.8635568,80,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\ok\ok_00080.jpg,Left
2835,gestos_p5_20260916-155908,p5,rock,paper,0.84558606,92,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00092.jpg,Left
1465,gestos_p3_20260916-153029,p3,scissors,paper,0.84156287,34,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\scissors\scissors_00034.jpg,Right
2318,gestos_p4_20260916-154654,p4,thumbsup,rock,0.83871704,75,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\test\thumbsup\thumbsup_00075.jpg,Left
350,gestos_p1_20260914-163555,p1,thumbsup,rock,0.8318501,25,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\thumbsup\thumbsup_00025.jpg,Right
1782,gestos_p4_20260916-154654,p4,ok,rock,0.81313103,38,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00038.jpg,Left
632,gestos_p2_20260914-165026,p2,ok,paper,0.8119701,65,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00065.jpg,Left
2839,gestos_p5_20260916-155908,p5,rock,ok,0.8076941,98,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00098.jpg,Right
1778,gestos_p4_20260916-154654,p4,ok,rock,0.8028312,34,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00034.jpg,Left
2679,gestos_p5_20260916-155908,p5,scissors,ok,0.79704636,61,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00061.jpg,Right
27,gestos_p1_20260914-163555,p1,ok,scissors,0.78682595,28,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00028.jpg,Left
2891,gestos_p5_20260916-155908,p5,scissors,ok,0.78652364,91,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00091.jpg,Left
978,gestos_p2_20260914-165026,p2,thumbsup,scissors,0.7795912,67,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\thumbsup\thumbsup_00067.jpg,Left
109,gestos_p1_20260914-163555,p1,paper,scissors,0.7730809,45,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00045.jpg,Right
1779,gestos_p4_20260916-154654,p4,ok,rock,0.7553099,35,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00035.jpg,Left
2351,gestos_p5_20260916-155908,p5,ok,scissors,0.7454769,9,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\ok\ok_00009.jpg,Right
980,gestos_p2_20260914-165026,p2,thumbsup,rock,0.7423175,69,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\thumbsup\thumbsup_00069.jpg,Left
2314,gestos_p4_20260916-154654,p4,thumbsup,rock,0.7290903,71,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\test\thumbsup\thumbsup_00071.jpg,Left
1697,gestos_p3_20260916-153029,p3,scissors,paper,0.7272912,82,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\scissors\scissors_00082.jpg,Left
437,gestos_p1_20260914-163555,p1,paper,scissors,0.7155261,84,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\paper\paper_00084.jpg,Left
2833,gestos_p5_20260916-155908,p5,rock,ok,0.7133436,88,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00088.jpg,Right
566,gestos_p1_20260914-163555,p1,thumbsup,rock,0.69658905,95,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\thumbsup\thumbsup_00095.jpg,Right
979,gestos_p2_20260914-165026,p2,thumbsup,rock,0.68727064,68,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\thumbsup\thumbsup_00068.jpg,Left
1753,gestos_p4_20260916-154654,p4,ok,rockandroll,0.6839681,9,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00009.jpg,Left
531,gestos_p1_20260914-163555,p1,scissors,rockandroll,0.65935147,90,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\scissors\scissors_00090.jpg,Right
55,gestos_p1_20260914-163555,p1,ok,paper,0.6377681,58,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00058.jpg,Left
169,gestos_p1_20260914-163555,p1,rock,thumbsup,0.6276704,43,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\rock\rock_00043.jpg,Right
574,gestos_p2_20260914-165026,p2,ok,scissors,0.6270374,3,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00003.jpg,Right
989,gestos_p2_20260914-165026,p2,ok,scissors,0.62625974,79,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\ok\ok_00079.jpg,Left
112,gestos_p1_20260914-163555,p1,paper,ok,0.62613636,49,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00049.jpg,Left
2397,gestos_p5_20260916-155908,p5,ok,paper,0.61610943,55,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\ok\ok_00055.jpg,Right
2889,gestos_p5_20260916-155908,p5,scissors,rock,0.61543804,89,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00089.jpg,Left
1400,gestos_p3_20260916-153029,p3,rockandroll,rock,0.5960168,37,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\rockandroll\rockandroll_00037.jpg,Left
1776,gestos_p4_20260916-154654,p4,ok,rock,0.5879782,32,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00032.jpg,Left
771,gestos_p2_20260914-165026,p2,rock,ok,0.58101135,66,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\rock\rock_00066.jpg,Left
2888,gestos_p5_20260916-155908,p5,scissors,ok,0.57180065,88,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00088.jpg,Left
2154,gestos_p4_20260916-154654,p4,thumbsup,ok,0.56630826,60,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\thumbsup\thumbsup_00060.jpg,Left
542,gestos_p1_20260914-163555,p1,thumbsup,rockandroll,0.5550347,71,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\thumbsup\thumbsup_00071.jpg,Left
374,gestos_p1_20260914-163555,p1,thumbsup,rockandroll,0.5454356,49,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\thumbsup\thumbsup_00049.jpg,Left
330,gestos_p1_20260914-163555,p1,thumbsup,rock,0.54303455,4,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\thumbsup\thumbsup_00004.jpg,Left
2827,gestos_p5_20260916-155908,p5,rock,paper,0.5384801,81,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00081.jpg,Right
981,gestos_p2_20260914-165026,p2,thumbsup,rock,0.5290175,70,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\thumbsup\thumbsup_00070.jpg,Left
200,gestos_p1_20260914-163555,p1,rockandroll,ok,0.49704567,7,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\rockandroll\rockandroll_00007.jpg,Left
395,gestos_p1_20260914-163555,p1,thumbsup,rock,0.47809282,70,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\thumbsup\thumbsup_00070.jpg,Right
126,gestos_p1_20260914-163555,p1,paper,scissors,0.46116132,66,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00066.jpg,Right
111,gestos_p1_20260914-163555,p1,paper,scissors,0.4578966,48,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00048.jpg,Left
544,gestos_p1_20260914-163555,p1,thumbsup,rockandroll,0.42752534,73,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\thumbsup\thumbsup_00073.jpg,Left
2825,gestos_p5_20260916-155908,p5,rock,ok,0.3802548,79,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00079.jpg,Left
486,gestos_p1_20260914-163555,p1,rockandroll,rock,0.3601108,74,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\rockandroll\rockandroll_00074.jpg,Left
2101,gestos_p4_20260916-154654,p4,thumbsup,rock,0.33415142,7,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\thumbsup\thumbsup_00007.jpg,Left
